Date,Open,High,Low,Close,Adj Close,Volume
2010-04-28,55.797817,56.340633,55.587166,69.190002,56.057072,33243500
2010-04-29,55.457539,56.437862,55.287388,68.660004,55.627666,47200900
2010-04-30,55.822121,56.154297,54.874199,67.769997,54.906593,43762100
2010-05-03,55.182072,55.271194,54.428585,67.839996,54.963318,30734900
2010-05-04,54.404285,54.493401,53.472572,66.470001,53.853359,31646100
2010-05-05,53.423962,54.234158,53.334839,66.169998,53.610294,30260300
2010-05-06,53.302429,53.658913,47.363731,63.889999,51.763062,58336300
2010-05-07,52.257278,52.597557,51.228336,63.700001,51.609127,69004800
2010-05-10,53.002655,53.270035,52.273476,65.230003,52.848728,38337600
2010-05-11,52.710052,53.020012,52.391937,64.459999,52.579536,29790600
2010-05-12,52.726364,53.297333,52.612160,64.910004,52.946609,25390700
2010-05-13,52.913979,53.240250,52.465340,64.739998,52.807934,26791600
2010-05-14,52.612160,52.799786,51.315216,63.599998,51.878052,38815400
2010-05-17,51.992241,52.106430,50.785019,63.270000,51.608868,31923700
2010-05-18,52.245110,52.424549,50.915524,62.790001,51.217339,34457000
2010-05-19,50.948154,51.339687,50.572933,62.450001,50.939999,36722500
2010-05-20,50.140625,50.311916,49.112854,60.330002,49.210739,57194500
2010-05-21,48.256355,49.716461,48.256355,60.880001,49.659363,52802900
2010-05-24,49.545162,49.757244,49.047596,60.189999,49.096535,27847800
2010-05-25,48.117699,48.762100,47.685379,59.709999,48.705002,50533800
2010-05-26,49.006813,49.316765,48.223740,59.310001,48.378731,34028900
2010-05-27,49.349388,50.205879,49.023121,61.459999,50.132465,31911500
2010-05-28,49.928543,50.303757,49.169941,60.459999,49.316765,32078700
2010-06-01,49.251507,49.643055,48.240055,59.250000,48.329784,32972000
2010-06-02,48.541851,49.594109,48.313465,60.770000,49.569637,28668400
2010-06-03,49.944847,50.581097,49.430958,61.560001,50.214027,32383700
2010-06-04,49.545162,49.798027,48.362411,59.529999,48.558174,45019200
2010-06-07,48.925236,49.275974,48.288998,59.299999,48.370567,28389500
2010-06-08,48.631588,50.116138,48.435822,61.240002,49.953018,48460700
2010-06-09,50.230339,50.246658,48.794727,60.029999,48.966026,31693200
2010-06-10,50.165092,50.572933,49.887745,61.889999,50.483200,33020100
2010-06-11,50.311916,50.507687,49.904068,61.860001,50.458729,21227100
2010-06-14,50.621876,50.948154,50.018257,61.369999,50.059048,24667800
2010-06-15,50.483200,51.037876,50.156944,62.509998,50.988941,24532600
2010-06-16,50.548466,51.078659,50.491367,62.509998,50.988941,20652700
